FEN
r4rk1/pp2bpp1/3pbn1p/q7/4PB1P/2NQ4/PPP3P1/1K1R1B1R w - - 1 15,c8e6
1rb2rk1/1p2q1bn/pN1p2p1/P1pPPp1p/5Pn1/2N5/1P2B1PP/R1BQ1RK1 b - - 0 25,e4e5
r1bk3r/1pp2p1p/p1np1p2/8/1b2Pn2/5N2/PPP1BPPP/R2Q1R1K b - - 1 14,g1h1
r4k1r/p1p2ppp/1p6/6q1/4QP2/8/PPP3PP/2KRR3 b - - 0 19,f2f4
2rqk1r1/1b2b3/p2ppp2/1p5p/3QP3/2NB4/PPP3PP/2KR1R2 w - - 2 17,h8g8
rn1qkbnr/1b2pppp/p2p4/1p6/3NP3/2NB4/PPP2PPP/R1BQK2R w KQkq - 2 7,c8b7
r1q1k2r/2pnbppp/pp1p4/n2Pp3/B1P1P1b1/Q1N5/PP1N1PPP/R1B1K2R b KQkq - 3 12,b4a3
1rr2k2/5ppp/p1n5/2n1p3/8/4N3/PP2BPPP/R4RK1 w - - 4 23,b4c6
5rk1/pp4bp/1n2p1p1/n5B1/4B3/1PN2PPb/P3N2P/2Rr2K1 w - - 0 21,d8d1
1B1r3k/pB4bp/6p1/2p2b2/3n4/2N5/PP3PPP/3R1RK1 b - - 0 24,f4b8
4Rb2/5k2/3p2p1/7p/3N4/2r4P/5PPK/8 w - - 1 48,g7f7
r3r1k1/3bqpb1/p1pp3p/1p3ppP/2PPn3/1PNQPBP1/P4P2/2KNR2R w - - 0 19,g6g5
2r5/3k2p1/P5p1/3pp3/bB1np3/P7/P2K1PPP/5B1R w - - 0 27,a8c8
2b2rk1/1p2bppp/3rp3/p3N3/1qR1BP2/7P/PPP1Q1P1/2K4R b - - 6 19,c3c4
2r1k2r/2qnbppp/p2pbn2/1p2p3/4PPP1/1NN1B3/PPPQB2P/2KR3R w k - 1 13,a8c8
r1b1k1nr/1pbp1ppp/2n1p3/8/4P3/2P5/PP3PPP/R2QKB1R w KQkq - 0 13,a5c7
3r4/4k1N1/4P1Pp/p7/2PBK2P/b7/8/8 w - - 0 43,a6a5
r1bqkb1r/pp1ppppp/1nn5/4P3/2Bp4/2P2N2/PP3PPP/RNBQK2R w KQkq - 4 7,d5b6
3qk2r/4bppp/p1bppn2/5PB1/1r2P3/1BN5/PP4PP/R2QR1K1 b k - 0 16,f4f5
1k1r3r/2q1nR2/pNbbP3/PpNp3p/3Q2p1/2PB3P/1P4P1/4R2K b - - 1 30,b3c5
r1bq1rk1/pp3pbp/n3pnp1/2pP4/2Q1P3/2N2N2/PP2BPPP/R1B2RK1 b - - 1 10,e1g1
