FEN
r1bqkb1r/1p3ppp/p1nppn2/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R w KQkq - 0 8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
r1q1kb1r/1ppn1ppp/p2p4/n2Pp3/B1P1P1b1/1QN2N2/PP3PPP/R1B1K2R w KQkq - 1 10
r1b1k2r/pp2bppp/2n1pn2/1Npq4/3P4/2P2N2/PP2BPPP/R1BQK2R b KQkq - 7 8
rnbqk2r/ppp1ppbp/1n4p1/8/3PP3/6P1/PP2NPBP/RNBQK2R b KQkq - 2 7
6R1/p2b3p/6pk/2pBb3/3nN3/6PP/Pr3PK1/3R4 w - - 9 33
8/R7/3p1kpb/7p/7P/2r2N1K/5PP1/8 w - - 3 54
rnbq1rk1/pppp1pbp/6p1/5p2/2PP4/2N1P1P1/PP3P1P/R2QKBNR b KQ - 0 7
r3kb1r/1b4p1/p2p2p1/1P2pp2/3nP3/N2B4/PP1B1PPP/R3K2R b KQkq - 0 19
2b2rk1/1p2bpp1/3rp3/pq2N2Q/2R2P2/7P/PPP3P1/2K4R w - - 2 22
r3k2r/1pqnbppp/p2pbn2/4p3/4PP2/1NN1B3/PPPQB1PP/R3K2R w KQkq - 1 11
r4rk1/1bb2p1p/1p4p1/3pn3/PP3P2/2P5/4Q1PP/R2R2K1 b - - 0 22
r2qkb1r/1b1n1pp1/p2ppn1p/8/1p1NP1PP/2N1BP2/PPPQ4/2KR1B1R w kq - 0 12
4k2r/1pq1rp1p/pn3p2/5p2/7Q/2P5/PP3PPP/4RRK1 w k - 2 22
4kr2/7p/pq2p1p1/3p4/1r2b3/QB6/PP4PP/R4R1K w - - 6 25
1k6/8/1P6/1P6/3p1nP1/1P6/3K2B1/8 w - - 3 61
r2q1rk1/pp3pbp/n4np1/2pP1b2/2Q5/2N2N1P/PP2BPP1/R1B2RK1 b - - 0 12
r1b3k1/4q1p1/p3p3/1p2p1b1/4P1B1/2N3Q1/PPP4P/1K3R2 b - - 0 24
rnbqkb1r/ppp2ppp/3p4/2n5/8/5N2/PPPPBPPP/RNBQK2R b KQkq - 3 6
4r1k1/1pqn3p/p2bp1p1/3p1rP1/2pP1PN1/2P1BR2/PP2Q1P1/5RK1 b - - 8 24
r1b1k2r/pppnqppp/4pb2/8/3PN3/2PB1N2/PP3PPP/R2QK2R b KQkq - 2 9
rn4kr/1b1n1pbp/p5p1/q2P2P1/3p4/B4P2/PPP1QN1P/2KR1B1R b - - 4 19
8/3k1p2/1q2p3/p2pPp1p/Pr3P2/bP5P/4Q1PK/B4R2 b - - 6 32
r1bq1rk1/p1n2pp1/1p3n1p/2pPb2N/2B5/P1N5/1P3PPP/R1BQ1RK1 b - - 3 17
8/8/1R5p/6pk/8/1p4KP/8/1r6 w - - 0 54
rn1qk2r/1b3pbp/p2p2p1/3Pp3/1p4P1/7P/PPP1NPB1/R1BQ1RK1 w kq - 2 13
3rk1r1/pp3p2/2pQb3/6q1/4P1p1/2N1R1P1/PPP1BP2/2K5 w - - 3 26
r1b1qrk1/ppp2pbp/4nnp1/4p1B1/2P1P3/P1N2N1P/1PQ1BPP1/R4RK1 w - - 3 14
8/5p2/p2kb3/1p6/4P3/4KN2/PP6/8 w - - 1 52
8/2R4B/5k2/8/8/2n5/5PP1/r3K3 w - - 1 55
8/2r2k1p/pN2p3/1b3p2/1b1p1P2/6P1/R1P1pK1P/1R6 b - - 3 34
r1bqk2r/pp2bppp/2nppn2/2p5/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 b kq - 2 7
r2q1rk1/ppp1ppbp/1n3np1/3P4/3P2b1/2N2N2/PPP1BPPP/R1BQ1RK1 w - - 9 9
2r1b1k1/1q3ppp/rB2p3/P7/4P1PP/1PN2P2/1KP2Q2/3R4 w - - 1 26
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
r3r1kb/p1q5/b2p1np1/3P1PQ1/2pB4/2N3N1/P5BP/2n2R1K w - - 2 32
r1b2rk1/pppnq1bp/6p1/4pp2/2P1n3/4PN1P/PPQNBPPB/R4RK1 b - - 1 12
6k1/1pp1q2p/r2n2p1/P1BPp3/5rP1/2Q2P1P/8/4RRK1 w - - 1 29
1r3bk1/p1n2r1p/1pb3p1/8/P1Q2p1q/1NN5/1PP3PP/3R1RK1 b - - 1 22
7k/Q1p3q1/1p6/6p1/3pP3/3P3P/PPP3P1/6K1 w - - 0 28
1r2n3/6kp/p1ppb1p1/4n3/2p1PrP1/2N2P2/PP2B1N1/2KR1R2 b - - 9 24
r2q1rk1/4npbp/2bpp1p1/p1p5/1p2PP1Q/3PNN2/PPPB2PP/4RRK1 b - - 1 14
r1bq1rk1/1p2ppbp/2pp1np1/p7/Pn1PPB2/2N2N2/1PPQBPPP/2R2RK1 b - - 5 10
r3kb1r/pp1q1ppp/2n1pn2/3p4/3P1B2/1QPB1N2/PP3PPP/R3K2R b KQkq - 0 10
3r4/p2nbpk1/1p4pp/4p1P1/4P2P/1B2BP2/PP2K3/3R4 b - - 0 26
r2q1r2/1p1n1pkp/p1npp1p1/3N4/2P5/1P3BP1/P2QPP1P/R4RK1 w - - 0 16
4rk2/1pq1rpbB/8/p1p4Q/P1P3N1/1P4P1/5R1K/8 w - - 9 45
r1b1k2r/4b1pp/p1pppn2/6B1/4P3/q1N5/P1PQB1PP/1R3RK1 b kq - 3 14
r3kbnr/1p1q1ppp/4p3/2Pp4/1Pn5/1Q6/PB3PPP/RN2K1NR w KQkq - 2 12
8/8/3k2pp/3Bnp2/3K4/6P1/7P/8 b - - 16 44
r3k2r/p2qbppp/1p2p3/2nnP3/3N4/5N2/PP1B1PPP/R2Q1RK1 b kq - 1 17
2kr3r/pp4pp/4pp2/2pq4/P1Nn4/K2BQ3/1P4PP/2R4R b - - 5 21
rn1qkbnr/pp2pp2/2p3p1/3pP2p/3P1Pb1/2N2N2/PPP3PP/R1BQKB1R w KQkq - 2 7
3r2k1/1b3p1p/4p3/p3P1p1/1P4P1/4RP2/1PK1B2P/8 b - - 0 34
6r1/8/8/2p5/1p1k4/8/2K5/8 w - - 0 77
rn3rk1/1p3pb1/1q2b1p1/pP1pp3/8/P1N1PP2/1BP1Q1P1/2KR1B1R b - - 3 21
r1br2k1/ppp2pbp/n4np1/4p3/2P1P3/2N2N2/PP2BPPP/R1B2RK1 w - - 0 10
r2qkb1r/pp3ppp/2n1bn2/3Pp3/8/1NN1B3/PPPQ1PPP/R3KB1R b KQkq - 0 9
r1b1kb1r/pp2pp2/1nn1p2p/8/4N3/2P5/PP2BPPP/RNB1K2R b KQkq - 1 14
rn3rk1/ppp2ppp/2b1p3/8/1q1P2Q1/1BN1P3/PP3PPP/R3K2R b KQ - 2 13
3Rn1k1/5p2/p2nr1p1/8/4P3/4B3/P4K1P/1R6 b - - 2 51
5r2/p6p/1p5k/1P2q3/2n3Q1/7P/P5P1/2R4K w - - 0 38
r1bqk2r/1p1nbppp/p2ppn2/6B1/3NP3/2N2P2/PPPQ2PP/R3KB1R w KQkq - 1 9
7r/p3ppkp/6pb/3QN3/3P4/2P5/P1qBKPPP/5B1R b - - 0 21
rn1q1rk1/ppp1ppbp/5np1/8/2BPPB2/2N2b2/PP3PPP/2RQK2R w K - 0 9
2bnB1k1/2q2ppp/8/2p5/4P1Q1/r6P/6P1/3R1R1K w - - 4 31
r4rk1/1pq1bppp/pn1p1n2/5b2/4PB2/2N5/PPPN2PP/R2Q1R1K w - - 0 17
r2qk2r/1p1nbppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQ2PP/2KR1B1R b kq - 4 10
r2b3k/1q3b1p/p2p1r2/4pp1Q/4n3/1N1BB3/PPP3PP/4RR1K w - - 4 34
r2q1rk1/pb1n1pbp/2pQ1np1/1p2p3/P3P3/2N1B1PP/1PP1NPB1/R4RK1 b - - 0 12
6k1/5pp1/4p3/P3Pn2/4rP2/7P/2q2QP1/5R1K b - - 8 44
8/8/8/3Rp3/Pp2q3/1B6/KPP5/2k5 b - - 2 50
7r/1p3r2/p5R1/2pPR3/P1P3k1/3P1p2/7P/5K2 b - - 2 38
rnb2rk1/pp2ppbp/6p1/8/3PP3/5N2/q2BBPPP/1R1QK2R w K - 0 12
8/4k3/2p4R/8/2Pn1r2/7B/7P/4K3 w - - 0 38
4r1k1/p4n2/1p2bBp1/1q6/8/1P6/1PPQ2PP/5RK1 b - - 1 30
r1bq1rk1/p3ppb1/3p1np1/3N2Bp/1p2P2P/1B6/PPPQ1PPn/R3K2R w KQ - 0 15
r1bqkb1r/pp2pppp/2np4/6B1/3NP1n1/2N5/PPP2PPP/R2QKB1R b KQkq - 6 7
8/5kpp/2Bnpn2/3p1p2/3P4/2K1PP2/6PP/4B3 w - - 7 36
2rqkb1r/1b3p2/pp2p1p1/n2pPn1p/P2P1P1N/2PB1N2/3B2PP/RQ3RK1 w k - 14 24
q1r2k1r/1R2pp2/3p1n2/1B2nPp1/8/6B1/5PPP/3QR1K1 w - - 4 23
5rk1/3bqpbp/p2p2p1/n1pPp2n/2P1PP2/6P1/PrQN2BP/3NRRK1 w - - 0 18
r1b2rk1/p1Q1nppp/2p5/1p6/1b1qPP2/2NB4/PPP3PP/R1B2R1K b - - 8 17
2r5/P3nk1p/5bpP/5p2/1q1p1P2/5PQ1/1r6/1B1R1RBK w - - 0 37
8/4R3/r6p/4k2P/3p4/3K4/8/8 b - - 17 62
1R6/3r1kpp/p4p2/Bb1p4/6P1/7P/5PB1/6K1 w - - 5 36
2kr4/p4p2/2p1p3/4P2P/3r1PP1/6R1/3B4/2K5 w - - 1 33
5r2/pp1k2p1/2qbp1Q1/7r/3P3P/4B3/PP3P2/R5KR b - - 4 25
2b2rk1/4q1pp/2pnP3/2Qp1p2/3B1P2/N3P3/6PP/3R2K1 w - - 0 28
