FEN,Move
5r2/p2P4/8/1p1PP1pk/2p4p/P2n2BQ/4R1PK/5q2 w - - 5 40,e2e4
qrb3k1/r1n2pbp/1n1p2p1/3P4/P6N/1pN3P1/1B1Q1PBP/1R2R1K1 w - - 0 21,e1e7
rnb1Qb1r/pq2kBpp/4p3/B2nN3/3P4/4P3/1P3PPP/R3K2R b KQ - 5 17,e7f6
1k1rr3/pppnq1pp/2p1bp2/8/4PP2/2NBQ2P/PPP3P1/2KR3R w - - 1 16,d3e2
6k1/1Q1q3p/P3b1p1/BP3p2/4p3/3p4/5bPP/5B1K b - - 3 41,g8f7
7k/2R5/6p1/6P1/1r2B1KP/5P2/8/6n1 b - - 6 49,g1e2
2r3k1/pp1bppbp/3p1np1/q6P/2rNP1P1/2N1BP2/PPPQ4/1K1R3R w - - 1 16,d4b3
2kr2r1/ppqbn1b1/4p2p/3pPppP/2pP1PP1/PnP2N1B/1P4N1/R1BQ1RK1 w - - 3 18,a1b1
2b5/r2kbQpp/p3p3/6B1/2p1p3/q7/P3B1PP/3R3K b - - 7 24,d7c6
rnb1kb1r/1pq2ppp/p2ppn2/8/2PNP3/2N1B1P1/PP3P1P/R2QKB1R b KQkq - 2 8,b7b6
8/5R1p/1k4p1/8/1p6/1P3P2/P1K2P1P/r7 w - - 3 33,c2d3
r1bqkb1r/pp3ppp/3ppn2/8/2BpP3/3P4/PPP1NPPP/R1BQ1RK1 b kq - 0 8,d8b6
5r2/pp2QPk1/3r4/q1p5/3P4/6R1/PPP2PP1/1K6 b - - 4 26,d6g6
r2qkbnr/ppp3pp/2np4/4pb2/8/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,d3d4
2k3R1/1b1p4/p2qpQ2/2p1n1P1/2P5/1P2P3/PK2B3/8 b - - 4 29,c8c7
2R5/5kbp/3p4/1q1n1p2/1P2pP2/1Q2B1PP/7K/8 w - - 1 35,c8c2
r4rk1/3nRppp/p2p4/3b1pP1/NBq5/6Q1/PPP2P1P/2KR4 w - - 1 21,g3d6
r2q1rk1/pp3p1p/2n3p1/3N1p2/8/4P1P1/PP1Q1P1P/R2R2K1 b - - 2 18,f8e8
2r3k1/1q2pp1p/p2p2p1/8/2rN4/1PN5/P1PQ3P/K5R1 b - - 2 24,c4c5
r2q1rk1/p2b3p/3p2pb/PPpPpp2/4P3/5N1P/2B1QPP1/RR4K1 w - - 0 21,c2d3
r1bqkb1r/pp2pp1p/2np1np1/8/2Pp4/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 0 7,f3d4
2rqr1k1/1p1P1pnp/p1n3p1/5b2/3pN3/5PP1/PP1QBB1P/3RR1K1 b - - 0 22,f5d7
