FEN,Move
r5r1/5b2/p2p1k1p/2p5/5P2/1P5P/P1PKN3/4R1R1 b - - 1 31,f7e6
rn1q1rk1/pbpp1ppp/1p2pn2/6B1/2PP4/P1Q5/1P2PPPP/R3KBNR w KQ - 2 8,e2e3
4rbk1/r2q2p1/p2p1pbp/2pPp3/2N1P1P1/PR1P3P/3B1PK1/1R1Q4 b - - 3 30,g8h7
rnq1r3/pp1nkpbp/6p1/2pPp3/5P2/5N2/PP4PP/R1BQKB1R w KQ - 2 13,f4e5
8/p5pk/1p4r1/3Pqp1p/4p1nP/4P1R1/P3QPK1/3R4 b - - 1 33,e5e7
r7/3r1kpp/pR3p2/8/2N5/5P2/R4KPP/8 w - - 6 41,b6a6
8/p2b1p1p/pn1k2p1/4b3/8/1P2PP2/P3NKPP/2R5 w - - 3 28,e3e4
2r1k2r/1bq1ppb1/p2p1np1/2n3Bp/1p2PN1P/4QP2/PPPN2P1/2KR1B1R w k - 4 15,f1c4
3qkb1r/r4ppp/pp2P3/3p4/3QbN2/8/PP3PPP/R1B2RK1 b k - 0 19,f7f6
r1bq2k1/1p2br2/1R1p3p/P1pPp1p1/2P1N2n/1R3PN1/P2B2PP/1Q4K1 b - - 14 28,e7f8
1nq2rk1/4bppp/1p2pn2/r2P4/5P2/p1N1B1P1/5PBP/RQ1R2K1 w - - 1 23,d5d6
8/1B4kp/n2r1pp1/P7/3B1P2/R3P3/2r2PKP/8 b - - 10 47,c2c7
r5r1/1pkbn3/p1n1p3/1R1pPp1Q/3p4/P1q2N2/2P2PPP/2BK1B1R w - - 0 17,c1b2
4k2r/pp3p2/2n1p1p1/3pPqNp/3P4/1P4PP/P2Q2PK/2R5 w - - 5 40,h2g1
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3P4/5N2/PP2BPPP/RNBQK2R b KQkq - 0 7,g8e7
r1r3k1/p2qppbp/2Pp1np1/8/1P3Pn1/P1N1B3/4BP1P/2RQ1RK1 b - - 0 18,d7f5
rnbqk2r/pp2ppbp/3p1np1/2pP4/2P1P3/2N2P2/PP4PP/R1BQKBNR b KQkq - 0 6,e8g8
rnbqkb1r/1p3ppp/p1p1pn2/3p2B1/P1PP4/2N2N2/1P2PPPP/R2QKB1R b KQkq - 1 6,b8d7
2bq1rk1/5r1p/p2ppPp1/1p2n1Q1/4P3/2N4B/PPP2R1P/1K3R2 b - - 8 22,d8b6
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQK2R w KQ - 0 7,e1g1
rnb2rk1/1pq2pbp/p2ppnp1/8/2P1P3/2NB1N2/PP2QPPP/R1BR2K1 b - - 5 11,b8d7
6R1/ppk4r/2n5/3p1r1p/P1pP2p1/2P3P1/2PB1P2/R5K1 w - - 0 29,d2f4
6k1/r7/4NK2/8/4P3/3R1nB1/6nP/8 w - - 1 59,d3d8
8/6k1/2N1n3/R7/6P1/5P2/5K2/6r1 b - - 16 90,g1c1
r7/4k3/r4pp1/P2Rn2p/4P1b1/1P6/1KPB3P/R7 w - - 0 30,d2c3
r1b1k3/1pqn1p2/p2pp3/5Pp1/3RP1P1/2N2Q2/PPP5/2K2B2 b q - 0 16,c7c5
8/5k2/1p3p1b/p4P1N/2R5/8/3r1NPP/6K1 w - - 3 41,g1f1
2rb4/q4ppk/p1bN1n1p/2Pp3P/3B1P2/P1Q2BP1/8/4R1K1 b - - 12 47,c8c7
1R6/1P2K1k1/4P1P1/8/8/8/8/1r6 w - - 1 67,e7d7
r1bqk2r/pp2bppp/2nppn2/8/2PNP3/2N1B3/PP2BPPP/R2QK2R b KQkq - 6 8,c6d4
4rbk1/pr1n1ppp/5n2/8/P2N4/2N3P1/4PP1P/R1BR2K1 w - - 0 19,c1a3
r3k1r1/p4pBp/b1pPp2Q/q1pp4/8/1P1P1n2/P1P2P1P/RN3R1K b q - 0 16,a5d8
8/6k1/4p1p1/P3P2p/1R2PP2/KP6/8/6r1 w - - 3 52,a3a4
2r1q1k1/r2n1ppp/pb2p3/1p1pP3/3P4/3QB3/PPR1BPPP/2R3K1 b - - 8 23,c8c2
2b1rr1k/2q3pp/p3np2/2nBp3/1p2P3/1P2Q1BP/P1PN2P1/4RR1K w - - 2 30,d2c4
r3k2r/1b3p1p/pq3p2/1p2p3/4Bn2/N1P2Q2/PP3PPP/2KR3R b kq - 3 18,b7e4
6k1/1q1nbppp/2p1pn2/p1Pp4/3P4/PrNNPP2/3B2PP/3Q1RK1 w - - 4 22,d1c2
2r2rk1/1p4pp/p1q1p1p1/2b1P3/8/PR2B3/1PPQ2PP/2KR4 b - - 0 22,c5e7
5r2/1p5k/p2b2b1/2pPp1Qn/P1q1R3/2N2Rp1/2P3P1/6K1 b - - 3 38,f8f5
2r2rk1/R3ppbp/2q3p1/1n6/3P1N2/2p1P1P1/4QP1P/R1B3K1 w - - 3 26,a7a5
2r3k1/2qn1ppp/1pp1pn2/1PPp4/3P4/rNN1P2P/2Q2PP1/1RR3K1 b - - 2 22,a3a8
r1b1qrk1/pp3ppp/3Rn3/n7/2B4P/4BN2/PP2QPP1/2K4R w - - 1 16,c4d3
rn2k2r/pbppbpp1/1p2p2p/8/3PP3/P1N2qP1/1PPQNP1P/R3KB1R w KQkq - 1 10,h1g1
2rq1k1r/1p1nbp2/p2p1np1/P2Pp3/7p/1N2BP2/1PPQB1PP/R4RK1 w - - 1 16,c2c4
r1qr2k1/pp1bbppp/2n1p3/2p5/3PPB2/2P2NP1/P4PBP/1R1Q1RK1 b - - 0 14,b7b6
3q1rk1/4ppbp/r2p1np1/3Pn1B1/8/2N2P2/PP1Q1NPP/R3K2R w KQ - 0 15,e1g1
r1b2rk1/pp2nppp/1b2pn2/1P5q/2QP4/2NBPN2/5PPP/R1B1K2R w KQ - 1 15,d3e2
5b1k/7p/2p2p2/1qPp1P1P/3Pp3/1P2P3/1K1B4/4Q3 b - - 1 54,b5d3
3r1nk1/R4p1p/6p1/8/8/4BP2/P5PP/6K1 b - - 8 35,g8g7
1k1r3r/ppqb1pb1/4p2p/3pP1p1/3n4/2PB1N1P/PP2QPP1/R3R1K1 w - - 0 17,f3d4
r3kb1r/pbpn1pp1/1p2pq1p/8/2PP4/2PB4/P2N1PPP/R1BQ1RK1 b kq - 3 11,f8d6
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 2 9,e1g1
r4rk1/1b1qb2p/ppp1n3/3pPp2/1P1P1P2/P1N1B3/4B2P/2RQ1RK1 w - - 0 22,f1f3
r1b1kb1r/1pqppp1p/p4p2/1np5/4N3/5N2/PPPP1PPP/R1BQR1K1 b kq - 1 9,f8g7
3q2r1/5p2/Q2k2pp/P7/3P4/8/1PP2PPP/4R1K1 b - - 0 37,d6d7
2b2rkn/1pp4p/5r2/p2PpP1q/2P1P1p1/P3Q1Pp/2R1N2K/5R1B b - - 0 29,b7b6
r1bqk2r/1p1nnp1p/p3p1p1/b2pP3/P1pP1P2/2P2N2/NPB3PP/R1BQ1RK1 w kq - 2 13,b2b3
2r5/1p5p/p3pkp1/P1B5/3PK3/1B6/6PP/8 b - - 0 35,c8d8
2r5/5k2/p2R1pp1/1p3b1p/1P6/2P2N1P/1P4P1/6K1 b - - 3 37,c8a8
r2qk2r/pp2ppb1/2npb2p/6p1/4P1n1/1NN3B1/PPPQ1PPP/R3KB1R b KQkq - 5 11,a7a5
5rk1/6pp/p1p5/1pBn4/4r3/1BP3Pb/PP3P1P/R3R1K1 b - - 0 23,f8e8
r1b2rk1/1pq1ppbp/p1np1np1/8/3NP3/2P1B3/PP1NBPPP/R2Q1RK1 w - - 10 13,a2a4
1r3rk1/1bq1bppp/3ppn2/8/p2nPP2/2pBN3/PP1B1QPP/2N1RR1K w - - 0 19,d2c3
1r6/2k3pp/2bb1p2/2p5/2B5/4BP2/1P4PP/3R2K1 w - - 2 28,d1d6
1R6/P7/8/7p/3k4/3p1b2/4p3/4K3 b - - 2 62,h5h4
1r5k/6p1/p2p3p/P2P4/4R3/2Q2PK1/6PP/1q6 b - - 7 38,b1b7
2r1r1k1/p4pp1/3q3p/b7/3p1N2/1P1Q2P1/P1R2P1P/5RK1 w - - 2 27,c2c4
r1bq1b1r/p3p1k1/2Np1npp/8/3Q1P2/2N5/PPP3PP/R1B1K2R b KQ - 0 13,d8c7
1R6/2p5/p1Ppk3/Pn1Np3/1P2P2r/7P/5K2/8 b - - 6 40,h4e4
8/1k6/8/6p1/pQ4P1/3N3P/q7/6K1 b - - 8 63,b7c7
1kn4R/1p6/1P6/p1r2B2/5K2/5P2/8/8 w - - 0 60,f4e4
2R2nk1/8/2P1r3/3N3p/1N1P2p1/3KBr2/8/8 w - - 0 43,c6c7
6k1/5pp1/7p/1q1pQ3/6P1/5NKP/5P2/8 w - - 15 43,e5e7
6nk/7p/6p1/2Q1p3/P2bP3/1P4P1/3q1PKP/5R2 w - - 11 41,c5d5
r4r2/3b1pk1/3p1npp/qpnPp3/p3PP2/P1N4P/1PBQN1P1/R4RK1 w - - 0 18,f4e5
r1b1k2r/1pp2pb1/p1nppq1p/6p1/2BPP3/2N5/PPPQNPPP/3RK2R w Kkq - 0 10,a2a4
r1bq1rk1/1p1n1pbp/2n3p1/4p3/NpPp4/P2P2P1/4NPBP/1RBQ1RK1 w - - 0 15,a3b4
r1b1k2r/pp4pp/1qnbpn2/3p4/2pP4/P1P2NP1/1P3PBP/RNBQ1RK1 b kq - 3 10,e8g8
r1bq1r1k/ppp1b1pp/2n5/4pp2/n7/3PBNP1/PP2PPBP/2RQ1RK1 w - - 0 12,d1a4
rnbqk2r/pp3ppp/2pb1n2/3p2B1/3P4/2N1P3/PP3PPP/R2QKBNR w KQkq - 1 7,f1d3
rnb2nk1/pp4bp/3pp3/q3P2Q/2B2P2/8/PBP3P1/R4K1R w - - 2 17,c4d3
1r4k1/1ppqrpb1/p2p2p1/3Pn2p/8/1P4P1/PBRQPPBP/3R2K1 w - - 3 19,d1c1
1r6/1B2R2p/6k1/p4p2/2n5/4P1PP/P4P2/6K1 w - - 0 30,b7d5
8/8/2b2p2/k1Np1p1p/3P1P1P/1K4P1/8/8 b - - 1 53,c6e8
2k4r/Qpp1r1pp/p4p2/8/1PPPpB2/5N2/P1q2PPP/5RK1 w - - 4 22,f3e1
r2q1rk1/pppb1ppp/2np2n1/4p3/2P5/2PP1PPN/P3P1BP/R1BQ1RK1 w - - 3 10,e2e3
3r1r1k/5Bpp/1p3PP1/p3p3/4b3/8/5B1P/1R3RK1 w - - 0 29,b1b6
8/7Q/P1n2k2/2q2Bp1/8/1P4P1/K7/8 w - - 5 68,h7g6
k2bq1rr/pp3p2/1nn1p1pp/3pP2P/2pP1PP1/P1P1NN1Q/1PR4B/6RK b - - 2 30,b6d7
3r4/p4p1p/k7/8/8/4r1P1/PP3PP1/R3K3 w Q - 0 30,f2e3
r5k1/pR2n3/4PB1p/2qp2p1/2r5/5BP1/P2Q1P1P/6K1 b - - 0 27,c4c1
4rr2/pn1q1pk1/1p1p2p1/3P3n/1PP1Npb1/2Q2BP1/P3N3/4RRK1 b - - 1 22,f7f6
r1bqk2r/pppn1ppp/3b4/4p3/3P4/2P1PN2/P4PPP/R1BQKB1R w KQkq - 1 8,f1e2
1b1r4/5p1k/4b1p1/1NP1p2p/4P2Q/3qBP1P/6P1/4R1K1 w - - 0 42,b5d6
8/5R1k/qp3P2/6pp/8/P5P1/5P1P/2R3K1 b - - 0 35,h7g6
6k1/6p1/p3q3/1p2p3/2PbQ3/1P4BP/5PPK/8 w - - 0 41,f2f4
8/3kn3/1b2p1p1/p3Pp1p/P1K2P1P/1B4P1/8/4B3 b - - 10 50,d7c6
r4rbk/1p2n1b1/2pp2pp/pPq2p2/P1PN4/2N1P1P1/3Q1PBP/2RR2K1 b - - 4 22,g6g5
2kr4/pb3p2/2p1p2p/7Q/1p1q3P/1P6/2R2PP1/5RK1 b - - 1 27,d4d3
5k2/2r2p2/7p/5RpP/4P3/1Bb2KP1/2P5/8 w - - 7 58,f3e2
8/p6R/2k5/2P2p2/3Bbnp1/P1P5/8/3K4 w - - 2 50,h7a7
3q1rk1/3b1ppp/p1r1p3/np1pP3/3N1P2/Q2B2P1/PPP4P/1K1R3R b - - 1 20,c6c8
7k/p2r1pbp/1qn1p1p1/1p2Pn2/2p1NP2/P1P2Q2/1Rb2NPP/B3R2K b - - 3 30,c2e4
8/pk1Q3P/2p1pb2/2Pbq3/8/4B1P1/2B2P2/6K1 b - - 4 39,e5c7
2r5/pp4kn/2n3p1/4prNp/2P4P/1P2N3/P3RPP1/3R2K1 b - - 2 25,h7f6
3r3k/R5p1/5nB1/7P/5P1K/6P1/8/8 w - - 5 53,g3g4
5rk1/1Q3p1p/p3p1pb/4P2q/1BP3R1/3r3P/P5PK/5R2 w - - 2 32,b4f8
8/P3k2p/7R/4P3/3P2K1/8/8/r7 b - - 0 47,a1a4
rnbqk2r/pp2ppbp/3p1np1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 2 7,f2f3
6Q1/4k1p1/p1q2b2/1pr4p/2P1pP1P/1P6/P3R3/1K1R4 w - - 0 36,d1d5
r2qk2r/ppp1bppp/1nn1b3/4p3/8/P1NP1NP1/1P2PPBP/R1BQK2R w KQkq - 1 9,e1g1
5kr1/5p1p/R4p2/3bn2B/Pp3B2/6P1/1Pr2P1P/4R1K1 w - - 4 23,a6f6
rnb2b2/ppk1qp1R/2p1p3/4P1P1/3PN1p1/4B3/PPP2PP1/2KR1B2 b - - 2 16,b8d7
rnbqk2r/p1p1nppp/1p2p3/3P4/3P4/2P1PQ2/P4PPP/R1B1KBNR b KQkq - 0 7,e6d5
rnbqk2r/ppp1bppp/8/3p4/4n3/3B1N2/PPPP1PPP/RNBQR1K1 b kq - 3 7,e4d6
8/1R6/p3k1pK/3p4/P3p3/8/8/8 w - - 0 57,h6g6
2rq1rk1/5pp1/p6p/1p1PpPb1/3n2P1/P1p4P/1PP2BB1/R2Q1RK1 w - - 0 26,b2b3
r5r1/5pk1/3p4/2q2p1p/1p5Q/1P6/6PP/4RR1K w - - 0 37,h4h5
2r1k2r/pp2bpp1/1qn1p3/3p1n1P/3P4/2P3B1/PPQNNP1P/2K1R2R w k - 3 18,d2f3
1r5r/2p1b1pp/2p1k3/1pP1Pp2/P1KP4/8/5B1P/1R2R3 w - - 0 27,a4b5
2r3rk/q6p/3p1b1B/P1pP1p1Q/2Bnp3/6R1/1P3PPP/5RK1 b - - 5 30,f6e5
8/5pp1/3bk2p/1N6/1P2K1P1/P6P/2r5/8 w - - 0 47,b5d4
rn2kbnr/p4p2/4p1pp/q1ppP3/1P1P1P1B/4Nb2/1PPQB1PP/R4RK1 b kq - 0 15,a5b4
r5k1/pp3p1p/1n4p1/2p2P2/q1pBr3/2P3Q1/P5PP/3R1R1K w - - 0 27,f5g6
r2nrbk1/4qp1p/pBbp2p1/1p2pP2/4P2N/2P3P1/PP3Q1P/1B1R1RK1 w - - 3 23,a2a3
8/3n1p2/5k1P/p4P2/P2bK3/8/4B3/8 w - - 0 67,e4d4
r4rk1/1b1nb1pp/1p2p3/3pPp2/1P5q/2BBP3/1Q1N1PPP/R4R1K w - - 0 20,d2f3
4rrk1/ppq3pp/2n2p2/2pRb1B1/2P5/2P2NP1/P1Q2P1P/4R1K1 w - - 0 19,g5e3
r1b1k2r/1p1nbp2/p5pp/2N5/Q3B2q/4B1R1/PPP2P2/2KR4 b kq - 2 21,b7b5
4r3/1p3k2/p1p1rnp1/R2p1pBp/2PP3P/1P1KPP2/6P1/5R2 b - - 29 40,e6d6
8/R7/3k1N2/3pr3/8/2p3P1/5P2/5K2 w - - 2 47,a7d7
1r1r2k1/3q1pp1/p1p4p/3nR3/3P4/B1p2QPP/P1P2P2/4R1K1 b - - 0 35,d7h3
r1bq1rk1/p1nnppb1/1p4pp/2p5/4N3/2NPB1P1/PP2PPBP/R2Q1RK1 w - - 0 12,a1c1
r2qkb1r/1b1n1pp1/p2ppn1p/8/1p1NP1PP/2N1BP2/PPPQ4/2KR1B1R w kq - 0 12,c3a4
rnbqkb1r/pp2pppp/2p2n2/8/2BP4/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 6,c8f5
r1bq1rk1/pp2b1pp/n1pp1n2/5p2/2PPp3/2N3PN/PP2PPBP/R1BQ1RK1 w - - 5 10,b2b3
4rr1k/p2q2p1/2p2p2/2p1p1p1/4P1b1/1P1PQ1N1/P1P3PK/1R3R2 w - - 0 25,e3c5
n1rr1b1k/1p2p2p/2n1RppP/p2p3q/P2P1B2/1PP5/3Q1PPN/1B2R1K1 b - - 4 34,a8c7
5rk1/2p1qppp/Q3p3/2Nn4/P2P4/6P1/1r3P1P/R2R2K1 w - - 3 21,a1b1
3r1r1k/4R1pp/p3Qn2/2P5/5P2/5qP1/5B1P/2R3K1 w - - 3 33,e6e2
rn1qkb1r/p3npp1/bpp1p3/3pP1Bp/B2P3P/P7/1PP1NPP1/R2QK1NR b KQkq - 1 10,d8c7
r3q3/2p3n1/2P1b1k1/1BQpPpPp/P2N1P1K/4P3/3R4/8 w - - 4 61,d2a2
3r1rk1/2p3b1/pp5p/3b1Bp1/4p3/P1P1B1P1/1PP4P/R4RK1 w - - 0 21,g3g4
rnbq1rk1/pp2b1pp/2p1pp2/3p4/2PP4/2NBPNP1/PP3PP1/R2QK2R b KQ - 1 10,g7g6
r2qkbnr/pp1n1ppp/2p1p3/3p1b2/2PP4/2N1PNP1/PP3P1P/R1BQKB1R b KQkq - 0 6,h7h6
r1bq1rk1/ppp3bp/6p1/3Pp3/2P1nB2/2N5/PP3PBP/R1Q2RK1 w - e6 0 14,f4e3
2r2bk1/p6p/5pp1/3p4/3B1P2/1NpR1P1P/P1r5/K1R5 b - - 5 27,c2c1
rnb1kb1r/p2ppppp/8/q1pP4/2P1n2B/1p3N2/PP1NPPPP/R2QKB1R b KQkq - 1 8,b3a2
rnbqkb1r/1p3ppp/p2ppn2/8/3NP3/1BN5/PPP2PPP/R1BQK2R b KQkq - 1 7,b7b5
2kr1r2/p1p1p2p/1pn1b3/q4pb1/P1pP2pN/2P1P1B1/1QB2PPP/1R3RK1 w - - 0 19,b1e1
8/4kppp/1r6/8/2K1PP2/1p5P/1P2R1P1/8 b - - 0 37,h7h5
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2BPPP/R1BQK1NR w KQ - 2 6,g1f3
rnbq1rk1/1pp1bppp/p3pn2/8/2pP4/5NP1/PPQ1PPBP/RNB2RK1 w - - 0 8,c2c4
6k1/p6p/1p1qN1p1/2p2p2/P1P4P/5R2/5PP1/4R1K1 b - - 0 35,d6d2
3rkb1r/1b1n1p2/1qp1p2p/pp1nP1pB/P1pPN3/2N3B1/1P3PPP/R2Q1RK1 b k - 3 15,b5b4
k6r/1p3rb1/p1p1q1b1/3pPpPp/3P1B1P/2R3QB/PP6/K3R3 b - - 1 30,h8c8
8/4kp2/8/1Rp1P3/2P5/1PK4r/8/8 w - - 39 64,c3b2
r2r1k2/pR3ppp/3Ppb2/8/p7/P3P1P1/1P3PBP/3R2K1 b - - 0 24,a7a5
6k1/R4p2/3rpn2/8/3P4/3B2P1/1P3P2/5K2 w - - 0 39,a7a4
1r2r1kb/5p1p/bq1p2p1/p1nPn3/Pp1NPP2/1p2B2P/2BQ1NP1/2RR2K1 w - - 0 25,f4e5
3r1k1r/1b1nbp2/1q2p3/pB2P1pp/Pp1pNn2/1N4BP/1P3PP1/2RQR1K1 b - - 6 22,d4d3
1n1r1k2/1pp2pp1/pn1p3p/3P4/2P2PP1/1PNBR2P/P5K1/8 b - - 0 32,a6a5
2qr1rk1/1p2ppbp/p1pnbnp1/P7/R2P1B2/3N2P1/1PP1NPBP/3Q1RK1 w - - 4 18,f4e5
5rk1/P5pp/2N1rp2/2pp4/2b5/5P2/6PP/R1R3K1 b - - 0 30,e6c6
4r3/1pqn1pkp/p1p1r1p1/P6n/2N1P3/2N2P2/1PQ3PP/R2R2K1 w - - 2 20,c3e2
1r3rk1/3bqn1p/ppppnpp1/8/P1PPP1PP/2PQN1B1/1R4B1/5RK1 w - - 3 24,b2f2
r1bqkbnr/pp3ppp/2npp3/8/3NP1P1/2N5/PPP2P1P/R1BQKB1R b KQkq - 0 6,a7a6
r5k1/pp1b2pp/3qpr2/3pPp2/4n3/1NPB4/PP3PPP/R2QR1K1 b - - 0 15,d6e5
r1b1kbnr/pp1p1ppp/2n5/2pNq3/8/2P2P2/PP2Q1PP/RNB1KB1R b KQkq - 0 13,e5e2
8/p4k1p/1b4p1/8/3r4/1Q4P1/P4PKP/8 b - - 7 30,f7f8
2k5/2P1R3/4K1p1/8/7P/4p3/3r4/8 b - - 7 58,e3e2
8/1N1b4/1P6/3k3R/r2B1b2/p3P3/5K2/8 b - - 1 49,d5c4
3r2k1/R2b2p1/5q2/1pPp1p2/5P2/4P1P1/3Q2B1/6K1 w - - 0 35,g2d5
1rb1kb1r/3pnppp/p1p1p3/q5B1/4P3/2N5/PPPQBPPP/R3K2R w KQk - 4 10,e1g1
1r4k1/5ppp/2n1p1n1/4P3/B1N5/8/1PP2BbP/2K1R3 b - - 10 27,g2d5
r1bqkb1r/1p3ppp/p1np1n2/1N2p1B1/4P3/2N5/PPP2PPP/R2QKB1R w KQkq - 0 8,g5f6
r7/3k1p2/3p4/p2n1qPQ/1p1B4/7P/PP3PK1/4R3 w - - 1 27,h5f3
2r1n1k1/ppNb1ppp/3q4/2Qp4/1P1N4/4P1P1/1P1K1PBP/2R5 b - - 6 21,d6c5
2br2k1/pp4qp/n1pp1N2/8/2P3P1/1P5P/P2Q2B1/5RK1 b - - 3 27,g8h8
4rr2/2pq1pk1/ppn1bnp1/4p2p/1P1pP3/P2P1PP1/2P1NNBP/R1QR2K1 w - - 0 20,c1b2
4r1k1/pp1q3p/6p1/2p5/3p2PQ/1P1PnRR1/P1P5/7K b - - 3 35,e3c2
r1bqk2r/1p2bpp1/p1np1n1p/4p3/4P3/2N3PP/PPP1NPB1/R1BQK2R w KQkq - 0 10,e1g1
2r1qr2/p3n1kp/2n5/2pp1p2/2P5/P2QPP2/4R1PP/2B1R1K1 w - - 0 21,c4d5
1k4r1/1p6/p3q3/3N4/2P2Q2/1K5p/PP1R4/8 b - - 6 67,b8a7
r4rk1/pp3pbp/6p1/1b1Nn3/8/4RP2/PPP1B1PR/2K5 w - - 0 22,e2b5
8/6kP/p4N2/1p2pn2/7P/P7/1PP5/2K5 w - - 1 37,h4h5
2r2nRR/5k2/1p2pp2/p2p4/P2P1P2/2PK4/1P6/8 w - - 0 37,b2b3
rn1qk2r/pp3ppp/2p1bn2/2bpp3/4P3/2NP1PPN/PPP3BP/R1BQK2R w KQkq - 3 8,d1e2
rn1qkbnr/pp4pp/2p1pp2/3p4/2P2Pb1/5NP1/PP1PP1BP/RNBQ1RK1 b kq - 1 6,f8d6
5k2/4pp2/3p2pp/1R1P4/1P2r3/5N2/5KPP/8 b - - 1 37,e7e5
3r1bk1/ppq2pp1/4rn1p/2p2N2/P2pPP2/6P1/1PPQ2BP/4RR1K b - - 0 23,c7b6
r2qr1k1/1p1nbppp/n7/p2NP3/3p4/P4PP1/1P4BP/R1BQ1RK1 w - - 0 17,f3f4
r4rk1/2pqppbp/6p1/np2P3/1B1P4/2P5/2PNQ1PP/R4RK1 b - - 1 19,a5c6
6nr/5kpp/4b3/1B2Bp2/8/P4P2/1P4PP/4K2R b K - 0 28,g8f6
r2r2k1/1p1b1ppp/2n2n2/p1P1q3/4p3/RNQ1P1P1/1P3PBP/2R1N1K1 b - - 6 24,e5h5
3r4/p2r1pk1/1p2pb2/6p1/1P2P1P1/5N2/P1R1KP2/2R5 b - - 0 30,f6e7
1Rr5/P4p2/1P4p1/4knP1/2Bp3p/7r/3K4/1R6 b - - 1 49,c8c4
5b2/5pk1/6pp/3pp3/1Pb5/2N1BP1P/6P1/N5K1 w - - 0 37,e3c5
r5k1/p5q1/8/1p2p3/2pP4/2P5/4QPPP/5R1K b - - 0 32,e5d4
8/3r1pk1/6b1/1R1Np1pp/4n3/4P2P/5PP1/3R2K1 w - - 0 42,f2f3
3Rr1k1/2B2pbp/5np1/1r6/1p2pP1P/4P3/PP3PB1/1K5R b - - 1 30,e8d8
4r1k1/1ppq1pp1/5n1p/1Nb1P3/p1P5/P4PP1/1B4bP/2R1Q2K w - - 0 23,h1g2
2rqkb1r/1p1n1pp1/p3p2p/4P3/1nQ5/4BN2/PP2BPPP/R2R2K1 w k - 1 17,c4b3
1rq2rk1/1p1nppbp/p1bp2p1/8/2P1P3/2NP1BP1/Q4P1P/BRR3K1 w - - 1 19,d3d4
rnbq1rk1/4bppp/pp1p1n2/4p3/P3P3/1NN5/1PP1BPPP/R1BQ1RK1 w - - 0 10,c1e3
1rb2rk1/1pnnqpbp/p2p2p1/2pP4/P3P3/N1N1BP2/1P1QB1PP/1R3RK1 w - - 11 20,b2b4
4rrk1/ppp2bpp/3p1n2/5p2/2PB1N1q/PP1nPP1P/2Q3P1/R4RK1 w - - 0 20,c2d3
r4rk1/pp3pp1/4pn1p/7P/2Pp1R2/4PNq1/PPQ3P1/1K5R w - - 0 26,h1h3
2kr3r/pp1nqpp1/2pb1n2/5b1p/3PP3/2N3P1/PP2N1BP/R1BQR1K1 b - - 0 13,f5g4
rnb1k2r/5ppp/p3pn2/1pb5/2B5/2N1PN2/PP2KPPP/R1B4R w kq - 0 10,c4d3
3r3k/1p4p1/5qBp/p6P/Pb1p4/3R1rP1/1PQ2P2/5RK1 w - - 6 32,c2d1
4q1k1/3r3p/6pB/2Q5/1Pp1p3/6NP/6P1/6K1 b - - 4 39,c4c3
6k1/p4p2/1p1P1Qp1/1b1B4/8/6pP/P4P1K/4q3 w - - 0 30,h2g3
r2q1rk1/p2nb1pp/2b1p3/p2p1p2/1BPPn3/N4NP1/1Q2PPBP/R2R2K1 w - - 0 18,b4e7
8/1p1k4/3n4/1PK1p1N1/4P1Pp/8/7P/8 b - - 1 43,d7c7
5rk1/p1q2Bp1/1p1b4/4Q3/2Pp4/3P2P1/PR6/4R1K1 b - - 0 30,f8f7
8/8/6p1/2k1N3/4n1p1/1P4P1/2P3KP/8 b - - 2 40,c5d4
1r6/2pbk3/3p1n2/2pP1p1p/2P1pP2/RB4PP/2N1NK2/8 b - - 10 42,c7c6
r3r1k1/pp2qpp1/3b1B1p/3Rn3/8/1P3NP1/P1Q1PPBP/R5K1 b - - 0 16,e7f6
1rbqk1nr/1p1pppbp/p1n3p1/8/1PP5/2N3P1/3PPPBP/1RBQK1NR b Kk - 0 8,b7b5
r1bq1rk1/4ppbp/2pp2p1/p1pnP3/8/P1NP1N2/1PP2PPP/1RBQ1RK1 w - - 1 11,c3e4
r3k2r/1bq1bppp/pp1ppn2/2n5/P2NPP2/2NB4/1PPBQ1PP/4RRK1 w kq - 5 13,b2b4
rnbq1k1r/ppppp1bp/7B/7Q/2PPp3/2N5/PP3PP1/R3KBN1 b Q - 2 9,g7h6
8/6pk/5p2/8/4P1rp/P7/8/3Q2bK b - - 1 51,g4g3
r4rk1/1p2bppp/1pn2n2/4p1B1/4P1b1/2N3P1/PP2NP1P/R2R1BK1 w - - 2 19,h2h3
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,f1e2
rn3rk1/pq3ppp/3pp3/2N5/2P5/2P3P1/P3PPBP/R1Bb2K1 w - - 0 16,c5b7
r1bqk2r/3n1ppp/p3p3/1pbpP2P/3B1P2/2N5/PPPQ2P1/R3KB1R b KQkq - 0 12,d8b6
3r2k1/pb2bppp/5n2/n1p1N3/3P1qP1/BPN4P/P4P2/R2QR1K1 w - - 1 21,d1e2
